location_name,region,latitude,longitude,timezone,last_updated,temperature_celsius,condition_text,wind_kph,pressure_mb,precip_mm,humidity,cloud,uv_index,air_quality_PM2.5,air_quality_PM10,day,month,hour,dayofweek
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-08-29 10:45:00,28.8,Patchy rain possible,17.3,1009.0,0.2,66,80,6.0,16.9,21.4,29,8,10,1
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-08-30 09:00:00,28.1,Sunny,14.0,1010.0,0.0,68,9,7.0,26.6,33.2,30,8,9,2
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-08-31 05:30:00,23.6,Clear,5.8,1008.0,0.0,79,11,1.0,23.6,28.8,31,8,5,3
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-01 05:15:00,24.0,Partly cloudy,4.7,1007.0,0.0,75,29,1.0,33.4,40.7,1,9,5,4
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-02 05:30:00,26.0,Partly cloudy,4.7,1006.0,0.0,75,28,1.0,43.7,52.9,2,9,5,5
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-03 05:15:00,24.9,Patchy rain possible,5.4,1005.0,1.4,82,87,1.0,37.3,41.0,3,9,5,6
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-04 05:15:00,23.0,Moderate or heavy rain shower,5.4,1004.0,3.1,93,73,1.0,20.8,21.6,4,9,5,0
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-05 05:15:00,23.2,Patchy rain possible,9.4,1002.0,0.3,91,71,1.0,22.4,24.5,5,9,5,1
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-06 05:00:00,24.7,Partly cloudy,9.0,1002.0,0.0,84,51,1.0,25.6,27.5,6,9,5,2
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-07 04:45:00,24.4,Light rain shower,8.6,1002.0,0.8,91,92,1.0,15.7,16.4,7,9,4,3
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-08 04:30:00,23.8,Light rain shower,15.8,1002.0,0.4,94,100,1.0,5.6,5.7,8,9,4,4
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-09 04:30:00,24.0,Patchy rain possible,18.4,1002.0,0.1,94,100,1.0,6.1,6.3,9,9,4,5
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-10 04:30:00,22.4,Cloudy,10.1,1003.0,0.0,91,75,1.0,2.9,3.0,10,9,4,6
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-11 04:30:00,23.5,Partly cloudy,13.3,1003.0,0.0,91,62,1.0,2.8,2.9,11,9,4,0
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-12 04:30:00,23.3,Partly cloudy,8.6,1004.0,0.0,86,48,1.0,4.3,5.8,12,9,4,1
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-13 04:30:00,23.7,Partly cloudy,11.2,1004.0,0.0,84,48,1.0,5.4,7.5,13,9,4,2
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-14 20:00:00,23.4,Mist,7.6,1005.0,0.0,95,54,1.0,5.3,5.8,14,9,20,3
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-15 04:15:00,23.2,Light rain shower,10.1,1003.0,1.8,98,100,1.0,11.8,12.1,15,9,4,4
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-16 04:15:00,23.9,Partly cloudy,17.3,1003.0,0.0,85,56,1.0,6.5,6.6,16,9,4,5
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-17 04:15:00,23.1,Cloudy,4.7,1005.0,0.0,86,63,1.0,6.9,8.6,17,9,4,6
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-18 04:15:00,22.7,Clear,5.0,1005.0,0.0,88,19,1.0,8.6,9.7,18,9,4,0
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-19 04:15:00,24.9,Partly cloudy,4.7,1005.0,0.0,79,31,1.0,9.5,12.4,19,9,4,1
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-20 04:15:00,24.1,Partly cloudy,5.8,1006.0,0.0,85,34,1.0,11.9,15.3,20,9,4,2
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-21 04:15:00,24.0,Light rain shower,5.4,1006.0,0.31,92,61,1.0,13.0,15.6,21,9,4,3
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-22 04:15:00,23.6,Patchy rain possible,3.6,1006.0,0.14,90,52,1.0,19.5,19.9,22,9,4,4
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-23 04:00:00,22.7,Patchy rain possible,6.1,1006.0,0.12,92,52,1.0,7.0,7.2,23,9,4,5
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-24 04:00:00,23.7,Partly cloudy,5.4,1007.0,0.0,91,58,1.0,9.3,9.5,24,9,4,6
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-25 03:45:00,22.4,Light rain shower,8.3,1006.0,0.32,93,90,1.0,12.0,12.6,25,9,3,0
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-26 03:45:00,23.2,Light rain shower,5.8,1005.0,1.56,92,76,1.0,20.9,22.2,26,9,3,1
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-27 03:45:00,23.7,Partly cloudy,5.0,1005.0,0.0,90,47,1.0,18.9,20.0,27,9,3,2
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-28 03:45:00,24.0,Partly cloudy,3.6,1005.0,0.0,89,28,1.0,39.5,41.8,28,9,3,3
Adilabad,Andhra Pradesh,19.67,78.53,Asia/Kolkata,2023-09-29 04:15:00,24.1,Partly cloudy,3.6,1005.0,0.0,87,48,1.0,44.6,45.8,29,9,4,4
